userid,name,email,pwd,major_type_id,event_type_id
1,Mayank,isfgbapu@outlook.com,2Kt3LrJalg,1,4
2,Suvrat,sipmdsky@outlook.com,tUjcRSdRX7,5,3
3,Megha,fdafjanz@gmail.com,MHFVt9lSF9,2,4
4,Aishwarya,zaewgodf@hotmail.com,jfdx9ID5Hb,4,2
5,Anoushka,nvvvdsai@outlook.com,a5xhEVtxfs,5,3
6,Chirag,pjkocwdd@yahoo.com,k5rsTuhnLZ,3,1
7,Nikita,jajrgdtn@yahoo.com,llLL3toteJ,1,4
8,Raj,osfzvmde@gmail.com,WRkhFFlmML,5,2
9,Yash,qaylcbas@outlook.com,dHo71oWLZs,3,2
10,Abhishek,nctosiia@yahoo.com,6SULP2MDpe,3,4
11,Chandler,jnndoxiq@yahoo.com,DIWWJkyv9h,2,3
