UserId,Email,Password,degree/major ID,event type ID
1,rqltjrug@yahoo.com,RfsbRmrYYG,2,4
2,roikatxn@yahoo.com,dsPI2pPhhZ,3,2
3,shvgeurn@outlook.com,GOffVG5spK,3,3
4,qakswaug@outlook.com,S0gpY1GAHx,3,4
5,lbzmpwkw@hotmail.com,fUfJSWe3qE,5,4
6,nxvprlsf@yahoo.com,3BOr9xR5Gd,4,3
7,mwqrpnox@outlook.com,cK24JhcPym,3,2
8,rwpqhqjk@yahoo.com,kE0PXQhKRt,1,4
9,oxkohfup@gmail.com,nw3ct2XzbR,2,3
10,wallgnfr@gmail.com,mDhCY7Nwao,2,1
11,ftajmgtq@hotmail.com,ejfaQZoQpa,5,2
12,mirmfkrz@gmail.com,38qOXlvXcZ,3,2
13,iplazedj@yahoo.com,f4czlrkVsO,4,2
14,lhnlxvrt@outlook.com,CsIYbchpj1,5,3
15,jfkxszjq@hotmail.com,z3H0RywMeE,5,2
16,sijyiorx@hotmail.com,TDqgIGpVcf,1,2
17,fumpkpxs@hotmail.com,N9agFX0QSE,3,3
18,hnvbvrux@outlook.com,OyAv8OTxSn,2,3
19,gqphkwen@gmail.com,5FZayaDPh5,2,4
20,xtlbcavr@yahoo.com,L5l0PHgXfH,2,3
